dataset,hclusterer,hclusterer-avg-linking,hclusterer-min-linking,kmeans,spectral
2D-1,1.6886,2.3283,2.1427,0.3779,0.6421
2D-2,0.3145,0.4821,0.4261,0.2377,0.1496
2D-3,0.172,0.267,0.2461,0.234,0.0856
2D-4,0.1936,0.2882,0.2531,0.2091,0.095
2D-5,111.6594,118.4379,118.686,3.8827,12.6481
2D-6,0.824,1.1859,1.07,0.2258,0.3378
2D-7,0.2696,0.4175,0.3658,0.2388,0.1258
2D-8,0.1144,0.1761,0.1615,0.2068,0.0536
rp,1.232,1.7865,1.6064,0.0648,0.4976
